"","pt16_PF","pt21_PF","pt30_PF","pt31_PF","pt32_PF","pt35_PF","pt36_PF","pt37_PF","pt71_PF","pt73_PF","pt74_PF","pt76_PF","pt78_PF","pt87_PF","pt88_PF","pt89_PF","pt91_PF","pt92_PF"
"HLA-DQA1",6.67277450611381,7.85203075089522,8.36533041906256,7.49513734988928,7.1626753758815,8.50169591253528,8.52808381982203,8.38278046529309,6.96392234905281,8.49825732393599,8.83470317814695,8.59725484016723,8.97042486361351,9.01572446783083,9.74792213208825,8.82096350549752,9.37159242430065,9.83168612135973
"HLA-DQB1",7.43659998338835,8.29148761535426,8.26962086098661,7.7616739873242,7.57221169418409,8.605945282073,8.29879977533408,8.45081456120091,8.2414634076544,8.30601235869432,8.87438849931662,8.93872897115218,8.82649002651048,8.89996447888612,9.78232567769833,9.32646529976696,9.23889199376033,9.30362724604204
"CXCL8",2.68589469290097,0.896954122620419,4.60153680277186,0.450957753909891,3.06241397480638,2.61186271308411,2.39391117334103,10.6522582741743,9.45590209034426,2.53501835397583,0.728630712413726,7.32862819988992,4.65780532288015,2.83519589286356,1.54249971515673,1.35681974469734,1.28741195110615,1.04237042998688
"CCL20",2.72946131701805,1.66343796005071,5.58669942680643,1.31743291130905,2.80859435689261,2.10177450320478,2.42789179082624,6.95140072642027,9.33782353717475,2.31073727165055,2.06069015862147,4.29822814051818,6.83051769375126,1.50439075288826,1.92401414971496,2.61826644414318,2.46508760130555,2.17773566852657
"VEGFA",4.47693828066819,2.94419557008584,4.20633361766993,3.25303946216631,4.40683330665094,4.08406903796204,3.40579530805453,7.69772824021768,8.30547231727466,4.01192769337455,3.57663141861367,5.33322761785182,5.5393549156222,3.13570074858238,3.53038773986245,2.52420540658834,3.46696127697002,2.87851746204075
"IL10RB",6.95510439901059,6.93851178944595,7.41195529555615,6.86940671039272,6.83755782892983,7.22141706710094,7.16646279216523,7.32193028814591,7.42364364070612,6.98456764184522,6.86813091782451,6.9366423359195,6.7190680135794,6.66309242705645,6.60332443876478,6.69645653033789,6.61896099851431,6.74737700136944
"IL10",4.39017541967272,4.80440611843622,4.89192111531755,4.9988204774958,6.32251361426998,5.0611747643839,5.45225342478799,6.09439775863309,7.76390011200395,5.53693152900683,5.54393759138301,6.24582340636148,6.34525881849343,4.68030005459773,5.03971230325783,4.74738920445539,4.97891240731225,4.83655950413322
